Dcc, 00:40:49,924 	 INFO  	 Current state: Relaxed 		
Dcc, 00:40:49,928 	 INFO  	 start receiving via Hardware 		
Dcc, 00:40:50,928 	 DEBUG 	 dccInfo sent 		
Dcc, 00:40:50,928 	 DEBUG 	 dccInfo sent 		
Dcc, 00:40:50,928 	 DEBUG 	 dccInfo sent 		
Dcc, 00:40:50,928 	 DEBUG 	 dccInfo sent 		
Dcc, 00:40:51,928 	 DEBUG 	 dccInfo sent 		
Dcc, 00:40:51,928 	 DEBUG 	 dccInfo sent 		
Dcc, 00:40:51,928 	 DEBUG 	 dccInfo sent 		
Dcc, 00:40:51,928 	 DEBUG 	 dccInfo sent 		
Dcc, 00:40:51,928 	 DEBUG 	 AC 4: added token -> available tokens: 1 		
Dcc, 00:40:51,928 	 DEBUG 	 AC 6: added token -> available tokens: 1 		
Dcc, 00:40:51,928 	 DEBUG 	 AC 0: added token -> available tokens: 1 		
Dcc, 00:40:51,928 	 DEBUG 	 AC 1: added token -> available tokens: 1 		
Dcc, 00:40:52,928 	 DEBUG 	 dccInfo sent 		
Dcc, 00:40:52,928 	 DEBUG 	 dccInfo sent 		
Dcc, 00:40:52,928 	 DEBUG 	 dccInfo sent 		
Dcc, 00:40:52,928 	 DEBUG 	 dccInfo sent 		
Dcc, 00:40:53,837 	 DEBUG 	 CAM received 		
Dcc, 00:40:53,837 	 INFO  	  		
Dcc, 00:40:53,837 	 INFO  	 AC 0: received and enqueued CAM 2, queue length: 1 		
Dcc, 00:40:53,837 	 INFO  	 HW: sending CAR Packet on Interface lo 		
Dcc, 00:40:53,837 	 INFO  	 AC 0: Sent data 2 to HW -> queue length: 0, tokens: 0 		
Dcc, 00:40:53,838 	 DEBUG 	 received own Message, discarding 		
Dcc, 00:40:53,838 	 DEBUG 	 received own Message, discarding 		
Dcc, 00:40:53,928 	 DEBUG 	 dccInfo sent 		
Dcc, 00:40:53,928 	 DEBUG 	 dccInfo sent 		
Dcc, 00:40:53,928 	 DEBUG 	 dccInfo sent 		
Dcc, 00:40:53,928 	 DEBUG 	 dccInfo sent 		
Dcc, 00:40:53,928 	 DEBUG 	 AC 4: added token -> available tokens: 2 		
Dcc, 00:40:53,928 	 DEBUG 	 AC 6: added token -> available tokens: 2 		
Dcc, 00:40:53,928 	 DEBUG 	 AC 0: added token -> available tokens: 1 		
Dcc, 00:40:53,928 	 DEBUG 	 AC 1: added token -> available tokens: 2 		
Dcc, 00:40:53,938 	 DEBUG 	 CAM received 		
Dcc, 00:40:53,938 	 INFO  	  		
Dcc, 00:40:53,938 	 INFO  	 AC 0: received and enqueued CAM 2, queue length: 1 		
Dcc, 00:40:53,938 	 INFO  	 HW: sending CAR Packet on Interface lo 		
Dcc, 00:40:53,938 	 INFO  	 AC 0: Sent data 2 to HW -> queue length: 0, tokens: 0 		
Dcc, 00:40:53,938 	 DEBUG 	 received own Message, discarding 		
Dcc, 00:40:53,938 	 DEBUG 	 received own Message, discarding 		
Dcc, 00:40:54,039 	 DEBUG 	 CAM received 		
Dcc, 00:40:54,039 	 INFO  	  		
Dcc, 00:40:54,040 	 INFO  	 AC 0: received and enqueued CAM 2, queue length: 1 		
Dcc, 00:40:54,140 	 DEBUG 	 CAM received 		
Dcc, 00:40:54,140 	 INFO  	  		
Dcc, 00:40:54,140 	 INFO  	 AC 0: received and enqueued CAM 2, queue length: 2 		
Dcc, 00:40:54,241 	 DEBUG 	 CAM received 		
Dcc, 00:40:54,241 	 INFO  	  		
Dcc, 00:40:54,242 	 INFO  	 AC 0: received and enqueued CAM 2, queue length: 3 		
Dcc, 00:40:54,342 	 DEBUG 	 CAM received 		
Dcc, 00:40:54,342 	 INFO  	  		
Dcc, 00:40:54,343 	 INFO  	 AC 0: received and enqueued CAM 2, queue length: 4 		
Dcc, 00:40:54,443 	 DEBUG 	 CAM received 		
Dcc, 00:40:54,443 	 INFO  	  		
Dcc, 00:40:54,443 	 INFO  	 AC 0: received and enqueued CAM 2, queue length: 5 		
Dcc, 00:40:54,544 	 DEBUG 	 CAM received 		
Dcc, 00:40:54,544 	 INFO  	  		
Dcc, 00:40:54,544 	 INFO  	 AC 0: received and enqueued CAM 2, queue length: 6 		
Dcc, 00:40:54,645 	 DEBUG 	 CAM received 		
Dcc, 00:40:54,646 	 INFO  	  		
Dcc, 00:40:54,646 	 INFO  	 AC 0: received and enqueued CAM 2, queue length: 7 		
Dcc, 00:40:54,747 	 DEBUG 	 CAM received 		
Dcc, 00:40:54,747 	 INFO  	  		
Dcc, 00:40:54,747 	 INFO  	 AC 0: received and enqueued CAM 2, queue length: 8 		
Dcc, 00:40:54,848 	 DEBUG 	 CAM received 		
Dcc, 00:40:54,848 	 INFO  	  		
Dcc, 00:40:54,848 	 INFO  	 AC 0: received and enqueued CAM 2, queue length: 9 		
