Obd2Service 	 speed (m/sec)
Obd2Service 	 0.000000
Obd2Service 	 40.000000
Obd2Service 	 0.000000
Obd2Service 	 90.000000
Obd2Service 	 150.000000
Obd2Service 	 120.000000
Obd2Service 	 20.000000
Obd2Service 	 0.000000
Obd2Service 	 10.000000
Obd2Service 	 70.000000
Obd2Service 	 150.000000
Obd2Service 	 110.000000
Obd2Service 	 60.000000
Obd2Service 	 30.000000
Obd2Service 	 60.000000
Obd2Service 	 30.000000
Obd2Service 	 80.000000
Obd2Service 	 80.000000
Obd2Service 	 80.000000
Obd2Service 	 210.000000
Obd2Service 	 110.000000
Obd2Service 	 300.000000
Obd2Service 	 120.000000
Obd2Service 	 150.000000
Obd2Service 	 60.000000
Obd2Service 	 100.000000
Obd2Service 	 110.000000
Obd2Service 	 40.000000
Obd2Service 	 150.000000
Obd2Service 	 210.000000
Obd2Service 	 290.000000
Obd2Service 	 360.000000
Obd2Service 	 410.000000
Obd2Service 	 330.000000
Obd2Service 	 310.000000
Obd2Service 	 460.000000
Obd2Service 	 270.000000
Obd2Service 	 300.000000
Obd2Service 	 360.000000
Obd2Service 	 400.000000
Obd2Service 	 450.000000
Obd2Service 	 670.000000
Obd2Service 	 470.000000
Obd2Service 	 460.000000
Obd2Service 	 620.000000
Obd2Service 	 390.000000
Obd2Service 	 490.000000
Obd2Service 	 410.000000
Obd2Service 	 470.000000
Obd2Service 	 480.000000
Obd2Service 	 240.000000
Obd2Service 	 300.000000
Obd2Service 	 300.000000
Obd2Service 	 310.000000
Obd2Service 	 360.000000
